Should write to:  0x18500108
Primus  -  Seas of Cheese
Faith No More  -  Land of Sunshine
Cypress Hill  -  Spark Another Owl
Primus  -  Electric Uncle Sam
Tool  -  Stinkfist
Primus  -  To Defy the Laws of Tradition
Red Hot Chili Peppers  -  Around the World
Deftones  -  Bored
Cypress Hill  -  Checkmate
Primus  -  Pork Chop's Little Ditty
Alice in Chains  -  Them Bones
Faith No More  -  Collision
Primus  -  Here Come the Bastards
Tool  -  Vicarious
Tower of Power  -  Can't You See (You Doin' Me Wr
Galactic  -  Bittersweet
Primus  -  Ground Hog's Day
Pantera  -  Mouth for War
Cake  -  The Distance
Faith No More  -  Get Out
Primus  -  The Return of Sathington Willo
Red Hot Chili Peppers  -  The Power of Equality
Joshua Redman  -  Before
Beastie Boys  -  Shake Your Rump
Tool  -  Intolerance
Primus  -  The Carpenter and the Dainty B
Cypress Hill  -  Throw Your Set In The Air
A Perfect Circle  -  The Package
Disturbed  -  Prayer
Public Enemy  -  Don't Believe The Hype
Frank Zappa  -  Let's Make The Water Turn Blac
Ice Cube  -  Ask About Me
Primus  -  Hennepin Crawler
311  -  Welcome
Faith No More  -  Caffeine
Tool  -  The Grudge
Dog Fashion Disco  -  Leper Friend
Colonel Claypool's Bucket of B  -  Buckethead
Red Hot Chili Peppers  -  Dani California
Mr. Bungle  -  Carousel
Chevelle  -  Comfortable Liar
Deftones  -  Digital Bath
A Tribe Called Quest  -  Get a Hold
Primus  -  My Name Is Mud
Tool  -  Eulogy
Van Halen  -  Panama
Primus  -  Fisticuffs
Porcupine Tree  -  Fear of a Blank Planet
Tower of Power  -  Oakland Stroke
David Lee Roth  -  Ladies' Nite In Buffalo?
Faith No More  -  Stripsearch
Beastie Boys  -  Too Many Rappers (ft. Nas)
Rage Against the Machine  -  Killing in the Name
Cypress Hill  -  Another Body Drops
Les Claypool's Duo De Twang  -  Amos Moses
Alice in Chains  -  Dam That River
Primus  -  Intruder
Disturbed  -  Liberate
Red Hot Chili Peppers  -  If You Have to Ask
Pantera  -  A New Level
Steve Vai  -  Frank
Cake  -  Friend Is A Four Letter Word
Galactic  -  The Corner
Primus  -  Too Many Puppies
Tool  -  Sweat
Mattias IA Eklundh  -  Print This!
Faith No More  -  Ricochet
Buckethead  -  Track04
Charlie Hunter  -  Ashby Man
Kiss  -  New York Groove
Led Zeppelin  -  Ramble On
Frank Zappa  -  The Orange Country Lumber Truc
Red Hot Chili Peppers  -  Parallel Universe
Primus  -  Sgt. Baker
Ice Cube  -  Why We Thugs
Tool  -  H.
Norah Jones  -  Don't Know Why
Faith No More  -  Midlife Crisis
Cypress Hill  -  Stoned Raiders
311  -  Freak Out
Primus  -  Natural Joe
Joshua Redman  -  Sweet Nasty
The Lonely Island  -  Threw it on the Ground
Deftones  -  One Weak
A Perfect Circle  -  Weak And Powerless
Faith No More  -  From out of Nowhere
Mr. Bungle  -  Sweet Charity
John Coltrane  -  Giant Steps
Disturbed  -  Awaken
Excision  -  Whalestep
Snoop Dogg  -  From The Chuuuch To Da Palace
Beastie Boys  -  Right Right Now Now
Primus  -  Professor Nutbutter's House of
Tool  -  Prison Sex
Pantera  -  Becoming
Faith No More  -  Last Cup Of Sorrow
Public Enemy  -  Lost at Birth
Frank Zappa  -  Joe's Garage
Cypress Hill  -  From the Window of My Room
Boy Hits Car  -  The Rebirth
Primus  -  Scissor Man
Tower of Power  -  It All Comes Back
????? ? ????  -  B. B.
Ice Cube  -  Really Doe
Alice in Chains  -  Them Bones
Fishbone  -  Fight the Youth
Audioslave  -  Gasoline
Faith No More  -  Evidence
Red Hot Chili Peppers  -  Behind the Sun
Ace Frehley  -  Snow Blind
A Tribe Called Quest  -  Excursions
Tool  -  Jambi
System of a Down  -  Prison Song
Primus  -  Mary the Ice Cube
Chevelle  -  Get Some
Alizée  -  J'en Ai Marre!
Willie Nelson  -  Whiskey River
Beastie Boys  -  B-Boys Makin' with the Freak F
Rob Wasserman  -  Zillionaire
Jessie J  -  Price Tag
Cypress Hill  -  Illusions
Primus  -  Welcome to this World
Galactic  -  From the Corner to the Block
Bloodhound Gang  -  The Ballad Of Chasey Lain
Sister Sledge  -  Reach your Peak
Faith No More  -  Smaller and Smaller
Bassnectar  -  Ping Pong
Mystikal  -  Bouncin' Back (Bumpin' Me Agai
Rage Against the Machine  -  Know Your Enemy
Moody Scott  -  (We Gotta) Bust out of the Ghe
Steel Panther  -  Death to all but Metal
Primus  -  American Life
David Lee Roth  -  Hina
Van Halen  -  Drop Dead Legs
Tool  -  The Patient
Cypress Hill  -  Lick a Shot
Alice in Chains  -  Got Me Wrong
Disturbed  -  Believe
Mr. Bungle  -  Stubb (a Dub)
Colonel Claypool's Bucket of B  -  Thai Noodles
Funkadelic  -  One Nation Under a Groove
Faith No More  -  Naked in Front of the Computer
Joshua Redman  -  Wish (Live)
Sting  -  Seven Days
Primus  -  Mr. Knowitall
Nullset  -  Smokewood
Pantera  -  Cowboys from Hell
Red Hot Chili Peppers  -  If You Want Me to Stay
Santana  -  Red Prophet
Bill Withers  -  Use Me
Deftones  -  My Own Summer (Shove It)
Limp Bizkit  -  Faith
Public Enemy  -  Rebel Without a Pause
Tower of Power  -  You Got to Funkifize
Frank Zappa  -  Theme From Lumpy Gravy
Led Zeppelin  -  Good Times Bad Times
Ice Cube  -  Smoke Some Weed
Primus  -  Over the Falls
Cake  -  Daria
Wind & Fire Earth  -  Saturday Nite
Incubus  -  When it Comes
Dr. Dre  -  Still D.R.E.
Warren G  -  Regulate
Tool  -  Schism
311  -  Homebrew
A Perfect Circle  -  Magdalena
A Tribe Called Quest  -  Rap Promoter
Waylon Jennings  -  Honky Tonk Heroes
Cypress Hill  -  Busted In The Hood
Faith No More  -  The Gentle Art of Making Enemi
Datsik  -  3 Fist Style
Primus  -  Mrs. Blaileen
Jane's Addiction  -  Mountain Song
Hatebeak  -  Beak of Putrefaction
John Coltrane  -  Summertime
Buckethead  -  Nun Chuka Kata
Beastie Boys  -  So What'cha Want
Uncle Moe's Space Ranch  -  Swarming Goblets
Massive Attack  -  Safe From Harm
Porcupine Tree  -  Way out of Here
Charlie Hunter  -  Bongo Confront
Tool  -  Forty Six & 2
Primus  -  Last Salmon Man (Fisherman's C
Archie Bell and the Drells  -  Strategy
Cypress Hill  -  Prelude to a Come Up (feat. MC
Frank Zappa  -  What's New In Baltimore?
The Skullsnaps  -  It's A New Day
Living Colour  -  Postman
The Peter Malick Group feat. N  -  New York City
Aaron Neville  -  Hercules
Faith No More  -  Falling to Pieces
Excision  -  Existence
Aerosmith  -  I'm Ready
Incredible Bongo Band  -  Apache
Primus  -  Bob
Cake  -  Wheels
Pantera  -  War Nerve
Tool  -  Hush
Red Hot Chili Peppers  -  Breaking the Girl
Tower of Power  -  Knock Yourself Out
Alice in Chains  -  Rain When I Die
Charles Mingus  -  Goodbye Pork Pie Hat
A Perfect Circle  -  Passive
311  -  Visit
Faith No More  -  Everything's Ruined
Ice Cube  -  Ghetto Bird
Dog Fashion Disco  -  9 To 5 at the Morgue
James McMurtry  -  Choctaw Bingo
Faith No More & Boo-Yaa T.R.I.  -  Another Body Murdered
Primus  -  Frizzle Fry
Al Wilson  -  The Snake
Disturbed  -  Remember
Public Enemy  -  Show Em Whatcha Got
Ratt  -  Round and Round
Chevelle  -  Jars
Cypress Hill  -  Killa Hill Niggas
Tool  -  Sober
Faith No More  -  Star A.D.
Primus  -  Laquer Head
Mystikal  -  Tarantula
Deftones  -  MX
Colonel Claypool's Bucket of B  -  Hip Shot from the Slab
Primus  -  Jerry Was a Race Car Driver
Snoop Dogg  -  The Next Episode
A Tribe Called Quest  -  Crew
Beastie Boys  -  High Plains Drifter
Pearl Jam  -  Garden
Mr. Bungle  -  Retrovertigo
Audioslave  -  Like A Stone
Korn  -  Blind
Norah Jones  -  Shoot the Moon
Primus  -  Making Plans for Nigel
Tower of Power  -  I Like Your Style
Billie Holiday  -  Autumn in New York
Disturbed  -  Intoxication
Porcupine Tree  -  Anesthetize
Esperanza Spalding  -  Loro
Faith No More  -  The Perfect Crime
Cypress Hill  -  Pigs
Tool  -  10,000 Days (Wings Pt 2)
Bassnectar  -  Do It Like This
Peeping Tom  -  Mojo (featuring Rahzel & Dan t
Red Hot Chili Peppers  -  My Friends
Galactic  -  Moog Marmalade
Primus  -  Hats Off
The Jimi Hendrix Experience  -  Little Wing
Wu-Tang Clan & Method Man  -  Bring the Pain
A Perfect Circle  -  The Noose
The Lonely Island  -  I'm on a Boat (feat. T-Pain)
John Coltrane  -  Cousin Mary
Les Claypool's Duo De Twang  -  Stayin Alive
Pantera  -  Walk
Charlie Hunter  -  Let's Get Medieval
Frank Zappa  -  Moggio
Faith No More  -  Helpless
Tool  -  Hooker with a Penis
William DeVaughn  -  Be Thankful for What You Got
Fishbone  -  Behavior Control Technician
Primus  -  John The Fisherman
Cypress Hill  -  Boom Biddy Bye Bye
AC/DC  -  You Shook Me All Night Long
Radiohead  -  Creep
Allen Toussaint  -  Soul Sister
Alice in Chains  -  Down in a Hole
Chevelle  -  Send the Pain Below
Steve Vai  -  Whispering a Prayer
Deftones  -  Diamond Eyes
Primus  -  Tragedy's a Comin'
Faith No More  -  Malpractice
Sly and the Family Stone  -  I Want To Take You Higher
Georgie Fame  -  Big Brother
Beastie Boys  -  Sneakin' out the Hospital
Tool  -  Parabola
Faith No More  -  Mouth to Mouth
Little Village  -  Inside Job
